Dimension,Threads,Time_us,Time_ms,FlopCount,GFLOPS,Speedup,Efficiency
200,1,28668.7,28.6687,16000000,0.558101,2.02852,2.02852
200,2,14417,14.417,16000000,1.1098,4.03378,2.01689
200,4,7575,7.575,16000000,2.11221,7.67723,1.91931
200,8,6522.33,6.52233,16000000,2.45311,8.91629,1.11454
400,1,232643,232.643,128000000,0.5502,1.17855,1.17855
400,2,113630,113.63,128000000,1.12646,2.41294,1.20647
400,4,58489.7,58.4897,128000000,2.18842,4.6877,1.17192
400,8,47958,47.958,128000000,2.669,5.71713,0.714641
800,1,1.78642e+06,1786.42,1024000000,0.573214,1.22735,1.22735
800,2,938713,938.713,1024000000,1.09086,2.33572,1.16786
800,4,742152,742.152,1024000000,1.37977,2.95434,0.738585
800,8,407482,407.482,1024000000,2.51299,5.38077,0.672597
1200,1,6.07232e+06,6072.32,3456000000,0.56914,1.20927,1.20927
1200,2,3.13173e+06,3131.73,3456000000,1.10354,2.34474,1.17237
1200,4,1.87058e+06,1870.58,3456000000,1.84755,3.92557,0.981393
1200,8,1.52068e+06,1520.68,3456000000,2.27267,4.82884,0.603605
1600,1,1.47451e+07,14745.1,8192000000,0.555574,1.19225,1.19225
1600,2,7.76608e+06,7766.08,8192000000,1.05484,2.26367,1.13183
1600,4,4.75765e+06,4757.65,8192000000,1.72186,3.69506,0.923765
1600,8,4.27526e+06,4275.26,8192000000,1.91614,4.11198,0.513998
2000,1,6.36909e+07,63690.9,16000000000,0.251213,0.545232,0.545232
2000,2,3.38558e+07,33855.8,16000000000,0.472593,1.02571,0.512857
2000,4,1.69541e+07,16954.1,16000000000,0.943725,2.04826,0.512064
2000,8,1.37522e+07,13752.2,16000000000,1.16345,2.52514,0.315643
