Dimension,TileSize,CPU_Time_ms,GPU_Time_ms,Speedup
200,8,129.654,0.28512,454.735
200,16,129.654,0.127232,1019.04
200,32,129.654,0.202528,640.178
400,8,1026.35,0.76112,1348.47
400,16,1026.35,0.75136,1365.99
400,32,1026.35,0.85376,1202.15
800,8,8952.4,11.5369,775.98
800,16,8952.4,11.4172,784.117
800,32,8952.4,11.6681,767.253
1200,8,29041.9,38.6983,750.468
1200,16,29041.9,38.3004,758.266
1200,32,29041.9,39.247,739.976
1600,8,68978.3,91.6391,752.716
1600,16,68978.3,73.6847,936.128
1600,32,68978.3,67.0834,1028.25
2000,8,132672,168.604,786.883
2000,16,132672,140.795,942.302
2000,32,132672,76.373,1737.15
